relativePath,originalExt,originalBytes,webpBytes,deltaBytes,deltaPercent,originalSize,webpSize,quality
TROG/original/1-boy.png,png,290886,24508,-266378,-91.57,284.07 KB,23.93 KB,85
TROG/original/1-fork.png,png,184685,14682,-170003,-92.05,180.36 KB,14.34 KB,85
TROG/original/1-knife.png,png,60265,4954,-55311,-91.78,58.85 KB,4.84 KB,85
TROG/original/1-shoe.png,png,250055,24368,-225687,-90.25,244.19 KB,23.80 KB,85
TROG/original/1-tree.png,png,776336,49320,-727016,-93.65,758.14 KB,48.16 KB,85
TROG/original/10-boy1.png,png,427585,44094,-383491,-89.69,417.56 KB,43.06 KB,85
TROG/original/10-girl1.png,png,387565,37898,-349667,-90.22,378.48 KB,37.01 KB,85
TROG/original/10-girl2.png,png,340688,37364,-303324,-89.03,332.70 KB,36.49 KB,85
TROG/original/10-tall.png,png,501461,47456,-454005,-90.54,489.71 KB,46.34 KB,85
TROG/original/100-gray-plane-over-clouds.png,png,2304000,80436,-2223564,-96.51,2.20 MB,78.55 KB,85
TROG/original/100-gray-plane-under-clouds.png,png,2391260,94866,-2296394,-96.03,2.28 MB,92.64 KB,85
TROG/original/100-white-plane-over-clouds.png,png,2301598,80466,-2221132,-96.50,2.19 MB,78.58 KB,85
TROG/original/100-white-plane-under-clouds.png,png,2399348,100596,-2298752,-95.81,2.29 MB,98.24 KB,85
TROG/original/101-whale-above-fish-turtle.png,png,2354605,103674,-2250931,-95.60,2.25 MB,101.24 KB,85
TROG/original/101-whale-behind-fish-turtle.png,png,2364154,105570,-2258584,-95.53,2.25 MB,103.10 KB,85
TROG/original/101-whale-below-fish-turtle.png,png,2351744,107428,-2244316,-95.43,2.24 MB,104.91 KB,85
TROG/original/101-whale-between-fish-turtle.png,png,2381187,104672,-2276515,-95.60,2.27 MB,102.22 KB,85
TROG/original/102-car-into-tunnel.png,png,566185,27256,-538929,-95.19,552.92 KB,26.62 KB,85
TROG/original/102-car-out-of-tunnel.png,png,535964,26248,-509716,-95.10,523.40 KB,25.63 KB,85
TROG/original/102-car-truck-into-tunnel.png,png,543388,26154,-517234,-95.19,530.65 KB,25.54 KB,85
TROG/original/102-truck-into-tunnel.png,png,589708,27110,-562598,-95.40,575.89 KB,26.47 KB,85
TROG/original/103-homework-desk-puzzle.png,png,1311956,76872,-1235084,-94.14,1.25 MB,75.07 KB,85
TROG/original/103-homework-desk.png,png,269084,28904,-240180,-89.26,262.78 KB,28.23 KB,85
TROG/original/103-puzzle-desk.png,png,279438,29554,-249884,-89.42,272.89 KB,28.86 KB,85
TROG/original/103-puzzle-floor.png,png,1324979,81834,-1243145,-93.82,1.26 MB,79.92 KB,85
TROG/original/11-blue.png,png,139017,13774,-125243,-90.09,135.76 KB,13.45 KB,85
TROG/original/11-pink.png,png,146666,13096,-133570,-91.07,143.23 KB,12.79 KB,85
TROG/original/11-red.png,png,126533,18604,-107929,-85.30,123.57 KB,18.17 KB,85
TROG/original/11-yellow.png,png,116221,12238,-103983,-89.47,113.50 KB,11.95 KB,85
TROG/original/12-black-horse.png,png,310599,35160,-275439,-88.68,303.32 KB,34.34 KB,85
TROG/original/12-brown-horse.png,png,406934,39038,-367896,-90.41,397.40 KB,38.12 KB,85
TROG/original/12-grey-dog.png,png,270171,23638,-246533,-91.25,263.84 KB,23.08 KB,85
TROG/original/12-yellow-dog.png,png,268243,25890,-242353,-90.35,261.96 KB,25.28 KB,85
TROG/original/13-boy-running.png,png,259349,27804,-231545,-89.28,253.27 KB,27.15 KB,85
TROG/original/13-cat-sitting.png,png,418082,37322,-380760,-91.07,408.28 KB,36.45 KB,85
TROG/original/13-cow-walking.png,png,581530,54120,-527410,-90.69,567.90 KB,52.85 KB,85
TROG/original/13-person-sitting.png,png,695397,60934,-634463,-91.24,679.10 KB,59.51 KB,85
TROG/original/14-big-cup.png,png,291826,31604,-260222,-89.17,284.99 KB,30.86 KB,85
TROG/original/14-blue-box.png,png,129151,4794,-124357,-96.29,126.12 KB,4.68 KB,85
TROG/original/14-pink-cup.png,png,127294,11038,-116256,-91.33,124.31 KB,10.78 KB,85
TROG/original/14-purple-box.png,png,350315,19022,-331293,-94.57,342.10 KB,18.58 KB,85
TROG/original/15-dog-eating.png,png,246319,26656,-219663,-89.18,240.55 KB,26.03 KB,85
TROG/original/15-dog-sitting.png,png,254659,25214,-229445,-90.10,248.69 KB,24.62 KB,85
TROG/original/15-girl-sitting.png,png,216211,25482,-190729,-88.21,211.14 KB,24.88 KB,85
TROG/original/15-girl-skipping.png,png,291923,34950,-256973,-88.03,285.08 KB,34.13 KB,85
TROG/original/16-green-comb.png,png,127811,12120,-115691,-90.52,124.82 KB,11.84 KB,85
TROG/original/16-purple-ball.png,png,308110,26122,-281988,-91.52,300.89 KB,25.51 KB,85
TROG/original/16-red-ball.png,png,296292,24724,-271568,-91.66,289.35 KB,24.14 KB,85
TROG/original/16-red-comb.png,png,137737,19624,-118113,-85.75,134.51 KB,19.16 KB,85
TROG/original/17-boy-running.png,png,253573,29678,-223895,-88.30,247.63 KB,28.98 KB,85
TROG/original/17-boy-sitting.png,png,381222,40680,-340542,-89.33,372.29 KB,39.73 KB,85
TROG/original/17-cat-napping.png,png,245461,30280,-215181,-87.66,239.71 KB,29.57 KB,85
TROG/original/17-horse-standing.png,png,572759,51224,-521535,-91.06,559.33 KB,50.02 KB,85
TROG/original/18-baby-sitting.png,png,243777,21564,-222213,-91.15,238.06 KB,21.06 KB,85
TROG/original/18-dog-drinking.png,png,494849,38050,-456799,-92.31,483.25 KB,37.16 KB,85
TROG/original/18-dog-not-drinking.png,png,441245,28912,-412333,-93.45,430.90 KB,28.23 KB,85
TROG/original/18-girl-standing.png,png,491514,46136,-445378,-90.61,479.99 KB,45.05 KB,85
TROG/original/19-cat-sitting.png,png,304184,26970,-277214,-91.13,297.05 KB,26.34 KB,85
TROG/original/19-girl-jumping.png,png,407742,33618,-374124,-91.76,398.19 KB,32.83 KB,85
TROG/original/19-girl-not-jumping.png,png,358412,31326,-327086,-91.26,350.01 KB,30.59 KB,85
TROG/original/19-horse-standing.png,png,562067,46242,-515825,-91.77,548.89 KB,45.16 KB,85
TROG/original/2-bird.png,png,174751,16524,-158227,-90.54,170.66 KB,16.14 KB,85
TROG/original/2-chair.png,png,426897,33012,-393885,-92.27,416.89 KB,32.24 KB,85
TROG/original/2-hat.png,png,203075,24666,-178409,-87.85,198.32 KB,24.09 KB,85
TROG/original/2-woman.png,png,934428,77722,-856706,-91.68,912.53 KB,75.90 KB,85
TROG/original/20-dog-sitting.png,png,577947,60400,-517547,-89.55,564.40 KB,58.98 KB,85
TROG/original/20-dog-standing.png,png,477681,51554,-426127,-89.21,466.49 KB,50.35 KB,85
TROG/original/20-girl-standing.png,png,559986,56706,-503280,-89.87,546.86 KB,55.38 KB,85
TROG/original/20-man-standing.png,png,487500,41860,-445640,-91.41,476.07 KB,40.88 KB,85
TROG/original/21-boy-hold-box.png,png,349129,39152,-309977,-88.79,340.95 KB,38.23 KB,85
TROG/original/21-boy-jump-box.png,png,315425,33618,-281807,-89.34,308.03 KB,32.83 KB,85
TROG/original/21-boy-run.png,png,558396,58298,-500098,-89.56,545.31 KB,56.93 KB,85
TROG/original/21-horse-jump-box.png,png,330317,38602,-291715,-88.31,322.58 KB,37.70 KB,85
TROG/original/22-cat-on-table.png,png,393906,34210,-359696,-91.32,384.67 KB,33.41 KB,85
TROG/original/22-girl-at-table.png,png,430910,41982,-388928,-90.26,420.81 KB,41.00 KB,85
TROG/original/22-girl-on-table.png,png,420781,37850,-382931,-91.00,410.92 KB,36.96 KB,85
TROG/original/22-girl-squatting.png,png,398296,39974,-358322,-89.96,388.96 KB,39.04 KB,85
TROG/original/23-girl-kick-apple.png,png,327638,40842,-286796,-87.53,319.96 KB,39.88 KB,85
TROG/original/23-horse-eat-apple.png,png,818962,92132,-726830,-88.75,799.77 KB,89.97 KB,85
TROG/original/23-man-eat-apple.png,png,307305,29916,-277389,-90.27,300.10 KB,29.21 KB,85
TROG/original/23-woman-eat-dinner.png,png,482530,63224,-419306,-86.90,471.22 KB,61.74 KB,85
TROG/original/24-dog-carry-bag.png,png,315801,39480,-276321,-87.50,308.40 KB,38.55 KB,85
TROG/original/24-woman-carry-bag.png,png,364703,36162,-328541,-90.08,356.16 KB,35.31 KB,85
TROG/original/24-woman-carry-chair.png,png,447454,43540,-403914,-90.27,436.97 KB,42.52 KB,85
TROG/original/24-woman-drop-bag.png,png,536978,46296,-490682,-91.38,524.39 KB,45.21 KB,85
TROG/original/25-2-girls-on-table.png,png,503100,60552,-442548,-87.96,491.31 KB,59.13 KB,85
TROG/original/25-2-people-draw-on-table.png,png,605069,77334,-527735,-87.22,590.89 KB,75.52 KB,85
TROG/original/25-2-people-on-carpet.png,png,440059,48966,-391093,-88.87,429.75 KB,47.82 KB,85
TROG/original/25-boy-on-table.png,png,437273,49322,-387951,-88.72,427.02 KB,48.17 KB,85
TROG/original/26-2-girls-face-cow.png,png,613168,76458,-536710,-87.53,598.80 KB,74.67 KB,85
TROG/original/26-girl-faces-cow.png,png,519232,55328,-463904,-89.34,507.06 KB,54.03 KB,85
TROG/original/26-two-boys-ride-cow.png,png,404407,42336,-362071,-89.53,394.93 KB,41.34 KB,85
TROG/original/26-two-people-look-at-butterfly.png,png,364511,50268,-314243,-86.21,355.97 KB,49.09 KB,85
TROG/original/27-boys-jump-grass.png,png,587735,66098,-521637,-88.75,573.96 KB,64.55 KB,85
TROG/original/27-boys-jump-wall.png,png,683546,56922,-626624,-91.67,667.53 KB,55.59 KB,85
TROG/original/27-girl-jump-wall.png,png,594332,47898,-546434,-91.94,580.40 KB,46.78 KB,85
TROG/original/27-girls-behind-wall.png,png,868202,49506,-818696,-94.30,847.85 KB,48.35 KB,85
TROG/original/27-people-jump-wall.png,png,761480,66052,-695428,-91.33,743.63 KB,64.50 KB,85
TROG/original/28-boy-rides-elephant.png,png,470527,52134,-418393,-88.92,459.50 KB,50.91 KB,85
TROG/original/28-elephant-carries-them.png,png,466127,58346,-407781,-87.48,455.20 KB,56.98 KB,85
TROG/original/28-run-from-elephant.png,png,758100,95328,-662772,-87.43,740.33 KB,93.09 KB,85
TROG/original/28-woman-carries-babies.png,png,391107,58092,-333015,-85.15,381.94 KB,56.73 KB,85
TROG/original/29-boy-rides-horse.png,png,543639,59326,-484313,-89.09,530.90 KB,57.94 KB,85
TROG/original/29-girl-pushes-horse.png,png,508371,61958,-446413,-87.81,496.46 KB,60.51 KB,85
TROG/original/29-girl-pushes-man.png,png,348089,48016,-300073,-86.21,339.93 KB,46.89 KB,85
TROG/original/29-horse-pushes-girl.png,png,425471,54446,-371025,-87.20,415.50 KB,53.17 KB,85
TROG/original/3-comb.png,png,89317,11016,-78301,-87.67,87.22 KB,10.76 KB,85
TROG/original/3-man.png,png,375957,36818,-339139,-90.21,367.15 KB,35.96 KB,85
TROG/original/3-table.png,png,301586,36732,-264854,-87.82,294.52 KB,35.87 KB,85
TROG/original/3-wall.png,png,348003,21976,-326027,-93.69,339.85 KB,21.46 KB,85
TROG/original/30-boy-chases-ball.png,png,203023,26790,-176233,-86.80,198.26 KB,26.16 KB,85
TROG/original/30-boy-chases-sheep.png,png,654553,66336,-588217,-89.87,639.21 KB,64.78 KB,85
TROG/original/30-dog-chases-sheep.png,png,725756,74912,-650844,-89.68,708.75 KB,73.16 KB,85
TROG/original/30-sheep-chases-man.png,png,647800,73716,-574084,-88.62,632.62 KB,71.99 KB,85
TROG/original/31-dog-chases-boy.png,png,377817,39986,-337831,-89.42,368.96 KB,39.05 KB,85
TROG/original/31-girl-pets-dog.png,png,362929,51900,-311029,-85.70,354.42 KB,50.68 KB,85
TROG/original/31-man-chases-cart.png,png,546214,78822,-467392,-85.57,533.41 KB,76.97 KB,85
TROG/original/31-man-chases-dog.png,png,476003,58688,-417315,-87.67,464.85 KB,57.31 KB,85
TROG/original/32-cow-pushes-woman.png,png,678919,84756,-594163,-87.52,663.01 KB,82.77 KB,85
TROG/original/32-girl-feeds-cow.png,png,737986,90742,-647244,-87.70,720.69 KB,88.62 KB,85
TROG/original/32-girl-pushes-cow.png,png,750069,85912,-664157,-88.55,732.49 KB,83.90 KB,85
TROG/original/32-girl-pushes-woman.png,png,484166,66522,-417644,-86.26,472.82 KB,64.96 KB,85
TROG/original/33-girl-behind-chair.png,png,310648,36728,-273920,-88.18,303.37 KB,35.87 KB,85
